,anzahl,geschlecht,jahr,rang,vorname
0,37,w,2009,1,Sophie
1,25,w,2009,2,Marie  
2,15,w,2009,3,Mia  
3,14,w,2009,4,Anna  
4,14,w,2009,5,Emilia  
5,11,w,2009,6,Johanna  
6,11,w,2009,7,Katharina  
7,11,w,2009,8,Lea  
8,11,w,2009,9,Leonie  
9,10,w,2009,10,Hannah  
10,10,w,2009,11,Lina  
11,9,w,2009,12,Charlotte  
12,9,w,2009,13,Emily
13,9,w,2009,14,Emma
14,9,w,2009,15,Julia  
15,9,w,2009,16,Laura
16,9,w,2009,17,Maria  
17,9,w,2009,18,Sarah  
18,8,w,2009,19,Celine  
19,8,w,2009,20,Jana  
20,8,w,2009,21,Lena  
21,8,w,2009,22,Luisa  
22,8,w,2009,23,Maya 
23,7,w,2009,24,Lara
24,7,w,2009,25,Lilly  
25,7,w,2009,26,Melina
26,7,w,2009,27,Sophia
27,6,w,2009,28,Amelie  
28,6,w,2009,29,Ceylin
29,6,w,2009,30,Jasmin
30,41,w,2010,1,Marie
31,35,w,2010,2,Sophie
32,17,w,2010,3,Maria
33,17,w,2010,4,Mia
34,16,w,2010,5,Johanna
35,14,w,2010,6,Emma
36,14,w,2010,7,Katharina
37,13,w,2010,8,Anna
38,13,w,2010,9,Sophia
39,12,w,2010,10,Emily
40,12,w,2010,11,Lena
41,11,w,2010,12,Emilia
42,11,w,2010,13,Lea
43,11,w,2010,14,Lina
44,10,w,2010,15,Charlotte
45,9,w,2010,16,Amelie
46,9,w,2010,17,Laura
47,9,w,2010,18,Pia
48,8,w,2010,19,Hannah
49,8,w,2010,20,Lilly
50,8,w,2010,21,Luisa
51,8,w,2010,22,Nisa
52,8,w,2010,23,Sarah
53,7,w,2010,24,Leona
54,7,w,2010,25,Paula
55,6,w,2010,26,Antonia
56,6,w,2010,27,Helen
57,6,w,2010,28,Ida
58,6,w,2010,29,Lara
59,6,w,2010,30,Leni
60,49,w,2011,1,Sophie
61,37,w,2011,2,Marie
62,29,w,2011,3,Mia
63,16,w,2011,4,Johanna
64,14,w,2011,5,Anna
65,14,w,2011,6,Lara
66,13,w,2011,7,Laura
67,13,w,2011,8,Sophia
68,11,w,2011,9,Charlotte
69,11,w,2011,10,Leonie
70,11,w,2011,11,Maria
71,11,w,2011,12,Nele
72,10,w,2011,13,Emilia
73,10,w,2011,14,Emma
74,10,w,2011,15,Katharina
75,10,w,2011,16,Lea
76,10,w,2011,17,Lina
77,9,w,2011,18,Lilly
78,8,w,2011,19,Emily
79,8,w,2011,20,Hanna
80,8,w,2011,21,Hannah
81,8,w,2011,22,Lena
82,8,w,2011,23,Leni
83,8,w,2011,24,Luisa
84,8,w,2011,25,Sofie
85,7,w,2011,26,Amelie
86,7,w,2011,27,Ela
87,7,w,2011,28,Fabienne
88,7,w,2011,29,Jana
89,6,w,2011,30,Leyla
90,45,w,2012,1,Marie
91,30,w,2012,2,Sophie
92,29,w,2012,3,Mia
93,21,w,2012,4,Maria
94,19,w,2012,5,Lina
95,18,w,2012,6,Emma
96,14,w,2012,7,Luisa
97,13,w,2012,8,Lea
98,12,w,2012,9,Katharina
99,12,w,2012,10,Sophia
100,11,w,2012,11,Emilia
101,11,w,2012,12,Lena
102,11,w,2012,13,Pia
103,10,w,2012,14,Laura
104,9,w,2012,15,Emily
105,9,w,2012,16,Leonie
106,8,w,2012,17,Elisabeth
107,8,w,2012,18,Jana
108,8,w,2012,19,Lara
109,8,w,2012,20,Lilly
110,8,w,2012,21,Nora
111,7,w,2012,22,Johanna
112,7,w,2012,23,Leni
113,7,w,2012,24,Lia
114,7,w,2012,25,Lisa
115,7,w,2012,26,Maja
116,7,w,2012,27,Mara
117,7,w,2012,28,Maya
118,6,w,2012,29,Amelie
119,6,w,2012,30,Anna
120,43,w,2013,1,Sophie
121,40,w,2013,2,Marie
122,23,w,2013,3,Mia
123,19,w,2013,4,Maria
124,18,w,2013,5,Lina
125,14,w,2013,6,Anna
126,13,w,2013,7,Emily
127,13,w,2013,8,Emma
128,13,w,2013,9,Luisa
129,13,w,2013,10,Sophia
130,12,w,2013,11,Johanna
131,10,w,2013,12,Charlotte
132,9,w,2013,13,Jana
133,9,w,2013,14,Lena
134,8,w,2013,15,Elisa
135,8,w,2013,16,Ella
136,8,w,2013,17,Emilia
137,8,w,2013,18,Leonie
138,8,w,2013,19,Lilly
139,8,w,2013,20,Maya
140,8,w,2013,21,Mila
141,7,w,2013,22,Katharina
142,7,w,2013,23,Laura
143,7,w,2013,24,Lisa
144,7,w,2013,25,Nele
145,6,w,2013,26,Elif
146,6,w,2013,27,Fabienne
147,6,w,2013,28,Lotta
148,6,w,2013,29,Olivia
149,6,w,2013,30,Sara
150,21,m,2009,1,Maximilian   
151,21,m,2009,2,Noah
152,20,m,2009,3,Luca  
153,18,m,2009,4,Leon  
154,16,m,2009,5,Ben  
155,15,m,2009,6,Jan  
156,14,m,2009,7,Alexander  
157,14,m,2009,8,Elias  
158,14,m,2009,9,Jonas  
159,13,m,2009,10,Jason  
160,13,m,2009,11,Lukas  
161,12,m,2009,12,Joel  
162,11,m,2009,13,David 
163,11,m,2009,14,Julian
164,11,m,2009,15,Philipp
165,10,m,2009,16,Luis
166,10,m,2009,17,Nick  
167,10,m,2009,18,Niklas  
168,9,m,2009,19,Nico  
169,9,m,2009,20,Tom  
170,8,m,2009,21,Erik  
171,8,m,2009,22,Florian  
172,8,m,2009,23,Jakob
173,8,m,2009,24,Mika
174,8,m,2009,25, Noel
175,8,m,2009,26,Peter
176,8,m,2009,27,Tim
177,7,m,2009,28,Fabian
178,7,m,2009,29, Linus
179,6,m,2009,30,Can
180,22,m,2010,1,Alexander
181,22,m,2010,2,Maximilian
182,19,m,2010,3,Paul
183,18,m,2010,4,Ben
184,18,m,2010,5,Leon
185,16,m,2010,6,Luca
186,15,m,2010,7,Jan
187,14,m,2010,8,Jonas
188,13,m,2010,9,Elias
189,13,m,2010,10,Noah
190,13,m,2010,11,Tim
191,12,m,2010,12,Joel
192,12,m,2010,13,Julian
193,11,m,2010,14,Louis
194,11,m,2010,15,Lukas
195,10,m,2010,16,Niklas
196,9,m,2010,17,David
197,9,m,2010,18,Simon
198,9,m,2010,19,Tom
199,8,m,2010,20,Felix
200,8,m,2010,21,Finn
201,8,m,2010,22,Kaan
202,8,m,2010,23,Luis
203,7,m,2010,24,Adrian
204,7,m,2010,25,Ali
205,7,m,2010,26,Fynn
206,7,m,2010,27,Muhammed
207,7,m,2010,28,Nico
208,7,m,2010,29,Samuel
209,6,m,2010,30,Florian
210,30,m,2011,1,Ben
211,25,m,2011,2,Leon
212,22,m,2011,3,Elias
213,18,m,2011,4,Alexander
214,14,m,2011,5,Jonas
215,14,m,2011,6,Luca
216,14,m,2011,7,Noah
217,12,m,2011,8,Max
218,12,m,2011,9,Maximilian
219,12,m,2011,10,Tim
220,11,m,2011,11,Paul
221,10,m,2011,12,Joel
222,10,m,2011,13,Jonathan
223,10,m,2011,14,Noel
224,10,m,2011,15,Peter
225,9,m,2011,16,David
226,9,m,2011,17,Fynn
227,9,m,2011,18,Nick
228,9,m,2011,19,Tom
229,8,m,2011,20,Felix
230,8,m,2011,21,Jan
231,8,m,2011,22,Julian
232,8,m,2011,23,Louis
233,8,m,2011,24,Moritz
234,8,m,2011,25,Nico
235,7,m,2011,26,Jakob
236,7,m,2011,27,Jason
237,7,m,2011,28,Mats
238,7,m,2011,29,Vincent
239,6,m,2011,30,Daniel
240,27,m,2012,1,Luca
241,19,m,2012,2,Elias
242,19,m,2012,3,Maximilian
243,19,m,2012,4,Noah
244,19,m,2012,5,Paul
245,16,m,2012,6,Ben
246,15,m,2012,7,Jonas
247,13,m,2012,8,Alexander
248,12,m,2012,9,Leon
249,10,m,2012,10,Felix
250,10,m,2012,11,Jan
251,10,m,2012,12,Julian
252,10,m,2012,13,Max
253,9,m,2012,14,Emir
254,9,m,2012,15,Liam
255,8,m,2012,16,Adrian
256,8,m,2012,17,Anton
257,8,m,2012,18,Emilio
258,8,m,2012,19,Finn
259,8,m,2012,20,Moritz
260,8,m,2012,21,Nico
261,7,m,2012,22,Aaron
262,7,m,2012,23,David
263,7,m,2012,24,Florian
264,7,m,2012,25,Joel
265,7,m,2012,26,Leonard
266,7,m,2012,27,Malik
267,7,m,2012,28,Noel
268,7,m,2012,29,Simon
269,7,m,2012,30,Tim
270,21,m,2013,1,Noah
271,19,m,2013,2,Ben
272,18,m,2013,3,Jonas
273,18,m,2013,4,Leon
274,16,m,2013,5,Maximilian
275,15,m,2013,6,Paul
276,14,m,2013,7,Elias
277,13,m,2013,8,Finn
278,13,m,2013,9,Jan
279,13,m,2013,10,Lukas
280,12,m,2013,11,Alexander
281,12,m,2013,12,Felix
282,12,m,2013,13,Mats
283,11,m,2013,14,Fynn
284,10,m,2013,15,Moritz
285,10,m,2013,16,Nick
286,9,m,2013,17,Julian
287,9,m,2013,18,Leonard
288,9,m,2013,19,Luca
289,9,m,2013,20,Max
290,9,m,2013,21,Ole
291,9,m,2013,22,Tom
292,8,m,2013,23,Anton
293,8,m,2013,24,Joel
294,8,m,2013,25,Leo
295,8,m,2013,26,Liam
296,8,m,2013,27,Luis
297,8,m,2013,28,Nico
298,8,m,2013,29,Tim
299,7,m,2013,30,Ali
300,35,w,2014,1,Marie
301,30,w,2014,2,Sophie
302,27,w,2014,3,Emilia
303,25,w,2014,4,Mia
304,22,w,2014,5,Emma
305,18,w,2014,6,Lena
306,18,w,2014,7,Maria
307,18,w,2014,8,Mila
308,13,w,2014,9,Luisa
309,13,w,2014,10,Marlene
310,12,w,2014,11,Amelie
311,12,w,2014,12,Emily
312,12,w,2014,13,Lina
313,12,w,2014,14,Nele
314,11,w,2014,15,Sophia
315,10,w,2014,16,Johanna
316,9,w,2014,17,Greta
317,9,w,2014,18,Lotta
318,9,w,2014,19,Sofia
319,7,w,2014,20,Alina
320,7,w,2014,21,Anna
321,7,w,2014,22,Elif
322,7,w,2014,23,Jana
323,7,w,2014,24,Laura
324,7,w,2014,25,Leni
325,7,w,2014,26,Pia
326,6,w,2014,27,Amalia
327,6,w,2014,28,Charlotte
328,6,w,2014,29,Elisabeth
329,6,w,2014,30,Franziska
330,32,m,2014,1,Alexander
331,23,m,2014,2,Elias
332,23,m,2014,3,Maximilian
333,22,m,2014,4,Ben
334,22,m,2014,5,Luca
335,19,m,2014,6,Jonas
336,18,m,2014,7,Felix
337,17,m,2014,8,Paul
338,16,m,2014,9,Leon
339,16,m,2014,10,Noah
340,13,m,2014,11,Louis
341,12,m,2014,12,Finn
342,12,m,2014,13,Max
343,11,m,2014,14,Julian
344,11,m,2014,15,Mats
345,10,m,2014,16,Jakob
346,10,m,2014,17,Jan
347,10,m,2014,18,Joel
348,10,m,2014,19,Tim
349,9,m,2014,20,Emil
350,9,m,2014,21,Henri
351,9,m,2014,22,Samuel
352,9,m,2014,23,Tom
353,8,m,2014,24,John
354,8,m,2014,25,Linus
355,8,m,2014,26,Noel
356,7,m,2014,27,Ali
357,7,m,2014,28,Anton
358,7,m,2014,29,Johannes
359,7,m,2014,30,Liam
360,35,w,2015,1,Marie
361,30,w,2015,2,Sophie
362,27,w,2015,3,Emilia
363,25,w,2015,4,Mia
364,22,w,2015,5,Emma
365,18,w,2015,6,Lena
366,18,w,2015,7,Maria
367,18,w,2015,8,Mila
368,13,w,2015,9,Luisa
369,13,w,2015,10,Marlene
370,12,w,2015,11,Amelie
371,12,w,2015,12,Emily
372,12,w,2015,13,Lina
373,12,w,2015,14,Nele
374,11,w,2015,15,Sophia
375,10,w,2015,16,Johanna
376,9,w,2015,17,Greta
377,9,w,2015,18,Lotta
378,9,w,2015,19,Sofia
379,7,w,2015,20,Alina
380,7,w,2015,21,Anna
381,7,w,2015,22,Elif
382,7,w,2015,23,Jana
383,7,w,2015,24,Laura
384,7,w,2015,25,Leni
385,7,w,2015,26,Pia
386,6,w,2015,27,Amalia
387,6,w,2015,28,Charlotte
388,6,w,2015,29,Elisabeth
389,6,w,2015,30,Franziska
390,32,m,2015,1,Alexander
391,23,m,2015,2,Elias
392,23,m,2015,3,Maximilian
393,22,m,2015,4,Ben
394,22,m,2015,5,Luca
395,19,m,2015,6,Jonas
396,18,m,2015,7,Felix
397,17,m,2015,8,Paul
398,16,m,2015,9,Leon
399,16,m,2015,10,Noah
400,13,m,2015,11,Louis
401,12,m,2015,12,Finn
402,12,m,2015,13,Max
403,11,m,2015,14,Julian
404,11,m,2015,15,Mats
405,10,m,2015,16,Jakob
406,10,m,2015,17,Jan
407,10,m,2015,18,Joel
408,10,m,2015,19,Tim
409,9,m,2015,20,Emil
410,9,m,2015,21,Henri
411,9,m,2015,22,Samuel
412,9,m,2015,23,Tom
413,8,m,2015,24,John
414,8,m,2015,25,Linus
415,8,m,2015,26,Noel
416,7,m,2015,27,Ali
417,7,m,2015,28,Anton
418,7,m,2015,29,Johannes
419,7,m,2015,30,Liam
